site_year,weed_trt,model_mean
CU_2023,No mowing,175.68479232354971
CU_2023,Early mowing,230.36024512633477
CU_2023,Late mowing,248.86054929860524
CU_2023,As-needed mowing,226.1008770868739
CU_2024,No mowing,32.845839796775955
CU_2024,Early mowing,43.067903640919724
CU_2024,Late mowing,46.52670060904277
CU_2024,As-needed mowing,42.27157677386803
CU_2025,No mowing,765.0792788741024
CU_2025,Early mowing,1003.1821644410655
CU_2025,Late mowing,1083.7480414750046
CU_2025,As-needed mowing,984.6332952703711
FH_2023,No mowing,34.750630717686
FH_2023,Early mowing,45.56549092580641
FH_2023,Late mowing,49.22486991901741
FH_2023,As-needed mowing,44.72298359280159
FH_2024,No mowing,205.03062019131582
FH_2024,Early mowing,268.8388863999862
FH_2024,Late mowing,290.42942242761796
FH_2024,As-needed mowing,263.86804709623243
FH_2025,No mowing,1347.1423770611377
FH_2025,Early mowing,1766.39106945786
FH_2025,Late mowing,1908.2504951336364
FH_2025,As-needed mowing,1733.7304440868834
ME_2025,No mowing,162.53664515576003
ME_2025,Early mowing,213.12021902919173
ME_2025,Late mowing,230.2359712508419
ME_2025,As-needed mowing,209.17961960415636
VT_2023,No mowing,59.25010738918952
VT_2023,Early mowing,77.68953181103424
VT_2023,Late mowing,83.92880269181133
VT_2023,As-needed mowing,76.25304997097055
VT_2024,No mowing,89.85985583292162
VT_2024,Early mowing,117.82544261751775
VT_2024,Late mowing,127.28804119419932
VT_2024,As-needed mowing,115.64684654836896
VT_2025,No mowing,348.3417975209523
VT_2025,Early mowing,456.7504153512228
VT_2025,Late mowing,493.4321857242935
VT_2025,As-needed mowing,448.3050860797136
WI_2023,No mowing,115.8846836445348
WI_2023,Early mowing,151.94954428143993
WI_2023,Late mowing,164.1526602596453
WI_2023,As-needed mowing,149.1399925197282
WI_2024,No mowing,186.13621921335383
WI_2024,Early mowing,244.0642955931578
WI_2024,Late mowing,263.66517639439184
WI_2024,As-needed mowing,239.55153923776794
WI_2025,No mowing,184.37331980689794
WI_2025,Early mowing,241.7527583563072
WI_2025,Late mowing,261.1679988706772
WI_2025,As-needed mowing,237.28274239574205
